Image1,Image2,Angle1_deg,Angle2_deg,Delta_deg
phantom_lbl_0000.png,phantom_lbl_0001.png,66.83,68.92,2.10
phantom_lbl_0001.png,phantom_lbl_0002.png,68.92,52.01,-16.91
phantom_lbl_0002.png,phantom_lbl_0003.png,52.01,288.83,236.82
phantom_lbl_0003.png,phantom_lbl_0004.png,288.83,282.62,-6.22
phantom_lbl_0004.png,phantom_lbl_0005.png,282.62,297.46,14.84
phantom_lbl_0005.png,phantom_lbl_0006.png,297.46,273.58,-23.88
phantom_lbl_0006.png,phantom_lbl_0007.png,273.58,252.37,-21.21
phantom_lbl_0007.png,phantom_lbl_0008.png,252.37,265.04,12.67
phantom_lbl_0008.png,phantom_lbl_0009.png,265.04,303.04,38.00
phantom_lbl_0009.png,phantom_lbl_0010.png,303.04,291.43,-11.61
phantom_lbl_0010.png,phantom_lbl_0011.png,291.43,292.33,0.90
phantom_lbl_0011.png,phantom_lbl_0012.png,292.33,274.90,-17.43
phantom_lbl_0012.png,phantom_lbl_0013.png,274.90,80.18,-194.72
phantom_lbl_0013.png,phantom_lbl_0014.png,80.18,235.65,155.46
phantom_lbl_0014.png,phantom_lbl_0015.png,235.65,261.56,25.91
phantom_lbl_0015.png,phantom_lbl_0016.png,261.56,264.13,2.57
phantom_lbl_0016.png,phantom_lbl_0017.png,264.13,257.10,-7.03
phantom_lbl_0017.png,phantom_lbl_0018.png,257.10,257.36,0.26
phantom_lbl_0018.png,phantom_lbl_0019.png,257.36,280.81,23.46
phantom_lbl_0019.png,phantom_lbl_0020.png,280.81,293.66,12.84
phantom_lbl_0020.png,phantom_lbl_0021.png,293.66,290.12,-3.54
phantom_lbl_0021.png,phantom_lbl_0022.png,290.12,294.95,4.83
phantom_lbl_0022.png,phantom_lbl_0023.png,294.95,296.14,1.20
phantom_lbl_0023.png,phantom_lbl_0024.png,296.14,50.47,-245.67
phantom_lbl_0024.png,phantom_lbl_0025.png,50.47,315.38,264.91
phantom_lbl_0025.png,phantom_lbl_0026.png,315.38,316.75,1.37
phantom_lbl_0026.png,phantom_lbl_0027.png,316.75,295.60,-21.14
phantom_lbl_0027.png,phantom_lbl_0028.png,295.60,291.29,-4.31
phantom_lbl_0028.png,phantom_lbl_0029.png,291.29,305.27,13.98
phantom_lbl_0029.png,phantom_lbl_0030.png,305.27,295.02,-10.25
phantom_lbl_0030.png,phantom_lbl_0031.png,295.02,309.72,14.70
phantom_lbl_0031.png,phantom_lbl_0032.png,309.72,301.90,-7.82
phantom_lbl_0032.png,phantom_lbl_0033.png,301.90,324.40,22.50
phantom_lbl_0033.png,phantom_lbl_0034.png,324.40,336.88,12.48
phantom_lbl_0034.png,phantom_lbl_0035.png,336.88,64.56,-272.32
